id_amat;tipo_sosta;via_id;localizzaz;num_stalli;tipologia;note;regole;costo_ora;num_prog;provenienza;LONG_X_4326;LAT_Y_4326;Location
1;BREVE;2103;VIA MARINA;5;su strada;;8-24;0;1;dentro;9.19832859717346;45.4707080739589;"(45.4707080739589, 9.19832859717346)"
2;BREVE;704;PIAZZA CASTELLO;2;su strada;;0-24;0;2;dentro;9.18021519846014;45.4718255813103;"(45.4718255813103, 9.18021519846014)"
5;BREVE;711;FORO BUONAPARTE;8;su strada;;0-24;0;2;dentro;9.18124947128229;45.4726502406327;"(45.4726502406327, 9.18124947128229)"
9;BREVE;144;VIA FATEBENEFRATELLI;1;su strada;;8-24;0;3;dentro;9.18872461424079;45.4730828967899;"(45.4730828967899, 9.18872461424079)"
6;BREVE;1052;VIA MANIN;3;su strada;;8-24;0;4;dentro;9.1972558366204;45.4758642658487;"(45.4758642658487, 9.1972558366204)"
8;BREVE;5090;VIA OLONA;3;su strada;;8-24;0;8;dentro;9.17290407137084;45.4613005377714;"(45.4613005377714, 9.17290407137084)"
15;BREVE;647;VIA SAN VITTORE;1;su strada;;9-18;0;9;dentro;9.17071350186298;45.4631154626285;"(45.4631154626285, 9.17071350186298)"
4;BREVE;6219;VIA VICO;8;su strada;;0-24;0;10;dentro;9.1675331144181;45.4622051629201;"(45.4622051629201, 9.1675331144181)"
3;BREVE;6174;VIA XX SETTEMBRE;4;su strada;;8-20;0;11;dentro;9.16721882215757;45.467921091006;"(45.467921091006, 9.16721882215757)"
7;BREVE;6162;PIAZZA GIOVINE ITALIA;2;su strada;;8-24;0;12;dentro;9.16922899708945;45.4676668731233;"(45.4676668731233, 9.16922899708945)"
12;BREVE;230;VIA MANZONI;2;su strada;;8-24;0;13;dentro;9.19020733593784;45.467511334952;"(45.467511334952, 9.19020733593784)"
1011;BREVE;4375;CHIARAVALLE;3;su strada;solo salita e discesa;0-24;-;1022;fuori;9.22940705372396;45.4115427192024;"(45.4115427192024, 9.22940705372396)"
1004;LUNGA;2106;PORTA VENEZIA;10;su strada;;8-24;8 €;1030;fuori;9.20337221530563;45.4750669601062;"(45.4750669601062, 9.20337221530563)"
1006;LUNGA;2715;REPUBBLICA M3 S;10;su strada;;8-24;8 €;1032;fuori;9.20051792380932;45.4764066218168;"(45.4764066218168, 9.20051792380932)"
1015;LUNGA;3140;PORTA VITTORIA;20;area parcheggio;;8-24;8 €;1034;fuori;9.22746894610986;45.4606593390046;"(45.4606593390046, 9.22746894610986)"
1005;LUNGA;4201;CASTELBARCO;3;su strada;non attiva;;-;1035;fuori;9.18725959217033;45.4470548669286;"(45.4470548669286, 9.18725959217033)"
1003;LUNGA;5353;FAMAGOSTA M2;6;su strada;;0-24;-;1036;fuori;9.16889553390193;45.4375387663176;"(45.4375387663176, 9.16889553390193)"
1001;LUNGA;6088;PAGANO M1;29;area parcheggio;chiusa la domenica per mercato;8-20;8 €;1037;fuori;9.15936098765255;45.4682506667473;"(45.4682506667473, 9.15936098765255)"
1016;LUNGA;6624;TRENNO;35;area chiusa;;8-24;-;1038;fuori;9.07664305839371;45.4869228517308;"(45.4869228517308, 9.07664305839371)"
1002;LUNGA;7234;MONUMENTALE M5;8;su strada;;0-20;8 €;1040;fuori;9.18034988791726;45.4836321625909;"(45.4836321625909, 9.18034988791726)"
1007;LUNGA;1117;GARIBALDI M2 M5;3;su strada;;0-24;-;1041;fuori;9.18522522348855;45.4836786514402;"(45.4836786514402, 9.18522522348855)"
1013;LUNGA;1188;VIA VALTELLINA;14;area parcheggio;;0-24;8 €;1042;fuori;9.18195125108686;45.4925438432337;"(45.4925438432337, 9.18195125108686)"
1008;LUNGA;1441;BIGNAMI M5;6;su strada;;8-20;8 €;1043;fuori;9.21069343378051;45.5234173962155;"(45.5234173962155, 9.21069343378051)"
1012;LUNGA;1627;VIA CHIESE;3;area parcheggio;;0-24;-;1044;fuori;9.21774920523288;45.5201815364204;"(45.5201815364204, 9.21774920523288)"
